Name,Boiling.Point,A,B,C
"1,1,1-TRIFLOUROETHANE",225.5,15.8965,1814.91,-29.92
"1,1,2-TRICHLOROETHANE",386.9,16.0381,3110.79,-56.16
"1,1,2-TRIMETHYLCLOPENTANE",386.9,15.7084,3015.51,-54.59
"1,1,3-TRIMETHYLCLOPENTANE",378.0,15.6794,2938.09,-53.25
"1,1-DICHLOROETHANE",330.4,16.0842,2697.29,-45.03
"1,1-DIFLOUROETHANE",248.4,16.1871,2095.35,-29.16
"1,1-DIMETHYLCYCLOHEXANE",392.7,16.9647,4276.08,-52.80
"1,1-DIMETHYLCYCLOPENTANE",361.0,15.6973,2807.94,-51.20
"1,2,2-TRICHLORO-1,1,2TRIFLUOROETHANE",320.7,15.8424,2523.61,-45.67
"1,2,3,4-TETRAHYDRONAPHTHALENE",480.7,16.2805,4009.49,-64.89
"1,2,3-TRICHLOROPROPANE",429.0,16.1246,3417.27,-69.15
"1,2,3-TRIMETHYLBENZENE",449.2,16.2121,3670.22,-66.07
"1,2,4,5-TETRAMETHYLBEENZENE",470.0,16.3023,3850.91,-71.72
"1,2,4-TRIMETHYLBENZENE",442.5,16.2190,3622.58,-64.59
"1,2-BUTADIENE",284.0,16.1039,2397.26,-30.88
"1,2-DICHLOROETHANE",356.6,16.1764,2927.17,-50.22
"1,2-DICHLOROPROPANE",369.5,16.0385,2985.07,-52.16
"1,2-DIMETHOXYETHANE",358.6,16.0210,2869.79,-53.15
"1,2-PENTADIENE",318.0,15.9297,2544.34,-44.30
"1,2-PROPANEDIOL",460.5,20.5324,6091.95,-22.46
"1,3,5-TRIMETHYLBENZENE",437.9,16.2893,3614.19,-63.57
"1,3-BUTADIENE",268.7,15.7727,2142.66,-34.30
"1,3-PROPANEDIOL",487.6,17.2917,3888.84,-123.20
"1,4 DIOXANE",374.5,16.1327,2966.88,-62.15
"1,4-DIETHYLBENZENE",456.9,16.1140,3657.22,-71.18
"1,4-PENTADIENE",299.1,15.7392,2344.02,-41.69
"1,5 HEXADIENE",332.6,16.1351,2728.54,45.45
1-BUTENE,266.9,15.7564,2132.42,-33.15
1-BUTYNE,281.2,16.0605,2271.42,-40.30
1-CHLOROBUTANE,351.6,15.9750,2826.26,-49.05
1-DECANOL,503.4,15.9395,3389.43,-139.00
1-DECENE,443.7,16.0129,3448.18,-76.09
1-DODECENE,486.5,16.0610,3729.87,-90.88
1-EICOSANOL,629.0,15.8233,3912.10,-203.10
1-HEPTANOL,449.5,15.3068,2626.42,-146.60
1-HEPTENE,366.8,15.8894,2895.51,-53.97
1-HEXADECENE,558.0,357.8500,-59.23,40.99
1-HEXANOL,430.2,18.0994,4055.45,-76.49
1-HEXENE,336.6,15.8089,2654.81,-47.30
1-METHYL-1-ETHYLCYCLOPENTANE,394.7,15.8222,3120.66,-55.06
1-METHYL-2-ETHYLBENZENE,438.3,16.1253,3535.33,-65.85
1-METHYL-2-ISOPROPYLBENZENE,451.5,15.9809,3564.52,-70.00
1-METHYL-2-ISOPROPYLBENZENE,448.3,15.9811,3543.79,-69.22
1-METHYL-3-ETHYLBENZENE,434.5,30.2200,16.15,3521.08
1-METHYL-4-ETHYLBENZENE,435.2,16.1135,3516.31,-64.23
1-METHYL-4-ISOPROPYLBENZENE,450.3,15.9424,3539.21,-70.10
1-METHYLNAPHTHALENE,517.8,16.2008,4206.70,-78.15
1-NONENE,420.0,16.0118,3305.03,-67.61
1-OCTADECANOL,608.0,15.6898,3757.82,-193.10
1-OCTADECENE,588.0,16.2221,4416.13,-127.30
1-OCTANOL,468.4,15.7428,3017.81,-137.10
1-OCTENE,394.4,15.9630,3116.52,-60.39
1-PENTADECENE,541.5,347.4600,-54.31,38.97
1-PENTANOL,411.0,16.5270,3026.89,-105.00
1-PENTENE,303.1,15.7646,2405.96,-39.63
1-PENTYNE,313.3,16.0429,2515.62,-45.97
1-PROPANOL,370.4,17.5439,3166.38,-80.15
1-TERADECENE,524.3,336.1300,-49.36,36.99
1-TRANS-3-PENTADIENE,315.2,15.9182,2541.69,-41.43
1-TRIDECENE,505.9,323.7100,-44.45,34.96
1-UNDECENE,465.8,16.0412,3597.72,-83.41
"2,2 DIMETHYL BUTANE",322.9,15.5536,2489.50,-43.81
"2,2,3 TRIMETHYLPETANE",383.0,15.7162,2981.56,-54.73
"2,2,3,3-TETRAMETHYLHEPTANE",433.5,15.7598,3371.05,-64.09
"2,2,3,3-TETRAMETHYLPENTANE",413.4,15.7280,3220.55,-59.31
"2,2,3,4-TETRAMETHYLPENTANE",406.2,15.7363,3167.42,-58.21
"2,2,3-TRIMETHYLBUTANE",354.0,15.6398,2764.40,-47.10
"2,2,3-TRIMETHYLHEXANE",406.8,15.8017,3164.17,-61.66
"2,2,4 TRIMETHYLPENTANE",372.4,15.6850,2896.28,-52.41
"2,2,4,4-TETRAMETHYLPENTANE",395.4,15.6488,3049.98,-57.13
"2,2,4-TRIMETHYLHEXANE",399.7,15.7639,3084.08,-61.94
"2,2,5,5-TETRAMETHYLHEPTANE",410.6,15.8446,3172.92,-66.15
"2,2,5-TRIMETHYLHEXANE",397.3,15.7445,3052.17,-62.24
"2,2-DIMETHYL PROPANE",282.6,15.2069,2034.15,-45.37
"2,2-DIMETHYL-1-PROPANOL",386.3,18.1336,3694.96,-65.00
"2,2-DIMETHYLHEXANE",382.0,15.7431,2932.56,-58.08
